,City,Country Code,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness (%),Wind Speed (mph)
466,RIKITEA,PF,-46.09,-114.53,72.49,100,92,11.88
468,KAHULUI,US,21.31,-155.08,68,94,1,3.36
469,LAGOA,PT,42.23,-30.63,71.6,83,40,4.7
470,TIKSI,RU,78.05,126.3,55.39,71,64,3.49
471,SAN PEDRO,BZ,18.16,-88.11,84.2,83,40,6.93
472,NIKOLSKOYE,RU,43.98,171.88,68,30,20,26.84
473,PUNTA ARENAS,CL,-53.18,-83.84,35.6,100,75,36.91
474,QAANAAQ,GL,78.7,-90.37,31.72,99,56,5.84
475,ALBANY,AU,-68.55,119.59,51.97,96,36,7.74
476,USHUAIA,AR,-63.31,-66.83,37.4,69,75,4.7
477,LENINGRADSKIY,RU,81.97,176.31,28.84,100,76,13
479,PRICHARD,US,30.56,-88.29,86,88,40,3.04
480,TIKSI,RU,77.54,123.33,55.39,71,64,3.49
481,CATUMBELA,AO,-12.85,14.22,77.35,63,0,3.71
482,PONTA DO SOL,CV,21.45,-28.35,71.95,100,0,13.78
483,FORTUNA,US,37.66,-132.2,55.4,100,90,3.36
484,MAR DEL PLATA,AR,-54.33,-39.79,49.45,57,68,27.09
485,CHATEAUBELAIR,VC,14.02,-62.69,86,62,40,10.29
486,TASIILAQ,GL,69.78,-42.32,39.2,80,75,8.05
488,VAINI,TO,-68.45,-174.43,73.4,94,20,6.93
489,YUMEN,CN,37.89,96.41,64.75,40,0,5.17
490,TALNAKH,RU,82.66,92.43,66.73,46,0,7.4
491,ATUONA,PF,-5.34,-135.53,80.95,99,12,11.99
492,TURA,RU,63.64,98.19,68.17,68,0,2.71
493,NEW NORFOLK,AU,-64.84,135.53,44.6,87,75,6.93
495,FLINDERS,AU,-33.98,133.79,46.4,93,44,4.7
496,ALBANY,AU,-85.03,111.99,51.97,96,36,7.74
497,HOBART,AU,-87.74,137.16,44.6,87,75,6.93
498,ALBANY,AU,-47.94,123.55,51.97,96,36,7.74
500,AHIPARA,NZ,-37.71,170.13,53.32,100,48,7.07
501,SALALAH,OM,11.11,61.84,84.2,83,90,12.75
503,BARROW,US,82.06,-166.46,77,83,1,11.41
504,HILO,US,9.75,-143.71,73.4,93,90,7.18
505,SALDANHA,ZA,-37.01,6.57,62.6,72,0,2.24
506,PUNTA ARENAS,CL,-60.44,-88.91,35.6,100,75,36.91
507,YULARA,AU,-26.69,125.75,48.2,45,0,8.05
508,USHUAIA,AR,-87.4,-25.37,37.4,69,75,4.7
510,PONTA DO SOL,CV,19.92,-35.18,71.95,100,0,13.78
511,KHATANGA,RU,89.5,94.76,56.65,64,56,19.82
512,USHUAIA,AR,-70.53,-44.15,37.4,69,75,4.7
513,AMBILOBE,MG,-10.77,52.06,81.31,54,36,12.77
515,NORTH BEND,US,44.07,-126.98,55.4,100,90,5.82
516,NUEVE DE JULIO,AR,-35.35,-61.07,56.47,47,0,4.05
517,CAIRNS,AU,-17.06,145.99,60.8,72,0,12.75
518,NORTH BEND,US,44.02,-132.18,55.4,100,90,5.82
519,LETHEM,GY,4.54,-59.39,72.58,100,92,8.75
520,BERDIGESTYAKH,RU,62.36,127.52,57.73,74,32,7.29
521,KISANGANI,CD,0.38,25.97,79.15,82,32,2.71
522,VAINI,TO,-33.29,-169.78,73.4,94,20,6.93
523,THOMPSON,CA,68.49,-89.7,59,58,75,5.82
524,TAMANDARE,BR,-10.73,-29.2,73.4,83,0,2.24
525,HOBART,AU,-88.25,144.77,44.6,87,75,6.93
526,TUKTOYAKTUK,CA,85.54,-120.62,35.6,97,75,8.05
527,ZHUMADIAN,CN,32.79,113.31,74.83,77,20,6.17
528,DINGLE,IE,52.5,-16.11,56.02,98,0,15.79
529,PORT ALFRED,ZA,-73.75,40.66,63.94,79,0,2.93
530,MAR DEL PLATA,AR,-50.53,-49.65,49.45,57,68,27.09
531,PORT ELIZABETH,ZA,-87.06,36.54,64.4,59,0,10.29
533,NAWALGARH,IN,27.97,75.17,84.64,59,64,2.59
534,AWBARI,LY,27.09,12.51,100.12,12,0,7.96
535,DAVILA,PH,18.6,119.09,83.74,93,44,15.68
537,BARROW,US,76.86,-164.99,77,83,1,11.41
538,RIKITEA,PF,-39.91,-131.13,72.49,100,92,11.88
539,ENGEL-YURT,RU,43.41,46.33,75.91,65,0,2.37
540,KAPAA,US,26.37,-167.42,73.4,94,1,3.36
542,PORT ALFRED,ZA,-74.04,45.75,63.94,79,0,2.93
543,HASAKI,JP,23.98,161.18,66.2,100,75,5.82
544,ATUONA,PF,-4.79,-115.6,80.95,99,12,11.99
545,YERBOGACHEN,RU,63.96,107.25,69.34,80,12,2.37
546,USHUAIA,AR,-63.73,-63.07,37.4,69,75,4.7
547,ESPERANCE,AU,-54.24,127.32,45.76,86,32,2.71
549,PUNTA ARENAS,CL,-72.1,-81.64,35.6,100,75,36.91
550,MARGATE,ZA,-41.7,41.85,68.53,78,24,11.32
551,POKOSNOYE,RU,55.32,100.97,69.61,64,24,5.5
552,SEPT-ILES,CA,53.69,-67.26,57.2,76,40,11.41
553,SAINT-PHILIPPE,RE,-65.49,71.8,75.2,64,20,12.75
555,NANORTALIK,GL,54.94,-40.29,37.57,94,48,41.41
556,PUNTA ARENAS,CL,-82.73,-118.94,35.6,100,75,36.91
557,FLINDERS,AU,-33.57,134.41,46.4,93,44,4.7
558,CARNARVON,AU,-26.39,105.11,65.92,95,0,17.13
559,MURMASHI,RU,68.69,32.39,60.8,67,40,6.71
561,BURNIE,AU,-40.4,145.85,53.95,100,44,12.88
562,BUSSELTON,AU,-68.87,93.09,61.51,100,88,8.97
563,ALOFI,NU,-15.39,-165.1,75.2,83,88,4.7
565,PUNTA ARENAS,CL,-72.28,-82.37,35.6,100,75,36.91
566,ABHA,SA,19.8,43.64,89.6,11,40,17.22
567,ROCHESTER,US,44.19,-92.37,68,100,90,8.05
568,CHUY,UY,-66.47,-21.37,63.58,90,8,7.74
569,HAMBANTOTA,LK,0.81,83.11,82.21,95,56,17.58
570,HONIARA,SB,-16.56,157.1,75.2,100,75,3.15
571,HOBART,AU,-58.87,155.15,44.6,87,75,6.93
572,NIKOLSKOYE,RU,33.21,173.96,68,30,20,26.84
573,RIBEIRA GRANDE,PT,42.31,-32.43,71.6,94,40,9.17
574,BARROW,US,89.28,-146.67,77,83,1,11.41
575,BUSSELTON,AU,-78.0,81.82,61.51,100,88,8.97
576,KAVIENG,PG,14.95,152.38,82.21,100,12,2.93
577,SALDANHA,ZA,-32.69,18.27,62.6,72,0,2.24
578,GEORGETOWN,SH,-3.62,-10.67,77.44,100,12,18.7
579,SAO FILIPE,CV,8.15,-26.27,75.28,91,0,11.99
580,SAMARAI,PG,-12.64,152.92,76.45,100,100,19.71
581,COLLEGE,US,68.73,-150.9,50,87,1,2.93
583,BLUFF,NZ,-73.25,159.11,44.14,100,0,3.27
584,NAINPUR,IN,22.34,80.01,80.32,85,12,1.92
585,HILO,US,21.32,-143.37,73.4,93,90,7.18
586,ALBANY,AU,-82.97,110.18,51.97,96,36,7.74
587,FAANUI,PF,-2.58,-154.45,80.05,100,92,19.26
589,BREDASDORP,ZA,-84.79,20.93,69.8,35,0,4.7
591,PIERRE,US,45.67,-100.01,62.6,93,75,5.82
592,YELLOWKNIFE,CA,69.24,-107.65,69.8,56,20,2.24
593,NEW NORFOLK,AU,-68.26,135.9,44.6,87,75,6.93
594,PAVLODAR,KZ,52.25,76.64,73.4,43,0,2.24
595,IQALUIT,CA,58.47,-69.68,39.2,69,75,26.4
596,GRIFFITH,AU,-31.84,144.47,42.34,89,44,2.71
597,LAZARO CARDENAS,MX,6.72,-108.25,75.2,33,5,8.63
598,JAMESTOWN,SH,-28.13,-2.05,70.51,100,64,12.44
599,GORNOPRAVDINSK,RU,59.08,70.56,65.11,64,88,6.29
